"ID" "title" "wiki links" "imdbLinks"
"Jeepers_Creepers_3" "Jeepers Creepers 3" "https://en.wikipedia.org/wiki/Jeepers_Creepers_3" "https://www.imdb.com/title/tt1139592/"
"American_Made_(film)" "American Made" "https://en.wikipedia.org/wiki/American_Made_(film)" "https://www.imdb.com/title/tt3532216/"
"Flatliners_(2017_film)" "Flatliners" "https://en.wikipedia.org/wiki/Flatliners_(2017_film)" "https://www.imdb.com/title/tt2039338/"
"Mark_Felt:_The_Man_Who_Brought_Down_the_White_House" "Mark Felt: The Man Who Brought Down the White House" "https://en.wikipedia.org/wiki/Mark_Felt:_The_Man_Who_Brought_Down_the_White_House" "https://www.imdb.com/title/tt5175450/"
"Blade_Runner_2049" "Blade Runner 2049" "https://en.wikipedia.org/wiki/Blade_Runner_2049" "https://www.imdb.com/title/tt1856101/"
"The_Mountain_Between_Us_(film)" "The Mountain Between Us" "https://en.wikipedia.org/wiki/The_Mountain_Between_Us_(film)" "https://www.imdb.com/title/tt2226597/"
"My_Little_Pony:_The_Movie_(2017_film)" "My Little Pony: The Movie" "https://en.wikipedia.org/wiki/My_Little_Pony:_The_Movie_(2017_film)" "https://www.imdb.com/title/tt4131800/"
"The_Florida_Project" "The Florida Project" "https://en.wikipedia.org/wiki/The_Florida_Project" "https://www.imdb.com/title/tt5649144/"
"Brawl_in_Cell_Block_99" "Brawl in Cell Block 99" "https://en.wikipedia.org/wiki/Brawl_in_Cell_Block_99" "https://www.imdb.com/title/tt5657856/"
"Happy_Death_Day" "Happy Death Day" "https://en.wikipedia.org/wiki/Happy_Death_Day" "https://www.imdb.com/title/tt5308322/"
"Marshall_(film)" "Marshall" "https://en.wikipedia.org/wiki/Marshall_(film)" "https://www.imdb.com/title/tt5301662/"
"Breathe_(2017_film)" "Breathe" "https://en.wikipedia.org/wiki/Breathe_(2017_film)" "https://www.imdb.com/title/tt5716464/"
"Goodbye_Christopher_Robin" "Goodbye Christopher Robin" "https://en.wikipedia.org/wiki/Goodbye_Christopher_Robin" "https://www.imdb.com/title/tt1653665/"
"Professor_Marston_and_the_Wonder_Women" "Professor Marston and the Wonder Women" "https://en.wikipedia.org/wiki/Professor_Marston_and_the_Wonder_Women" "https://www.imdb.com/title/tt6133130/"
"Blood_Money_(2017_film)" "Blood Money" "https://en.wikipedia.org/wiki/Blood_Money_(2017_film)" "https://www.imdb.com/title/tt3758852/"
"Geostorm" "Geostorm" "https://en.wikipedia.org/wiki/Geostorm" "https://www.imdb.com/title/tt1981128/"
"Only_the_Brave_(2017_film)" "Only the Brave" "https://en.wikipedia.org/wiki/Only_the_Brave_(2017_film)" "https://www.imdb.com/title/tt3829920/"
"Boo_2!_A_Madea_Halloween" "Boo 2! A Madea Halloween" "https://en.wikipedia.org/wiki/Boo_2!_A_Madea_Halloween" "https://www.imdb.com/title/tt6217804/"
"Same_Kind_of_Different_as_Me_(film)" "Same Kind of Different as Me" "https://en.wikipedia.org/wiki/Same_Kind_of_Different_as_Me_(film)" "https://www.imdb.com/title/tt1230168/"
"Leatherface_(2017_film)" "Leatherface" "https://en.wikipedia.org/wiki/Leatherface_(2017_film)" "https://www.imdb.com/title/tt2620590/"
"Wonderstruck_(film)" "Wonderstruck" "https://en.wikipedia.org/wiki/Wonderstruck_(film)" "https://www.imdb.com/title/tt5208216/"
"The_Killing_of_a_Sacred_Deer" "The Killing of a Sacred Deer" "https://en.wikipedia.org/wiki/The_Killing_of_a_Sacred_Deer" "https://www.imdb.com/title/tt5715874/"
"Thank_You_for_Your_Service_(2017_film)" "Thank You for Your Service" "https://en.wikipedia.org/wiki/Thank_You_for_Your_Service_(2017_film)" "https://www.imdb.com/title/tt2776878/"
